"country","country_code","age","1955","1960","1965","1970","1975","1980","1985","1990","1995","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"Azerbaijan",31,15,361,398.706,248.964,322.655,505.28,671.369,811.53,741.868,677.549,680.416,795.175,931.677,907.375,726.03,648.877,705.984,864.464,836.791,728.389,670.283,677.314,689.699,669.745,632.668,601.387,580.994,568.099,557.076,542.422,523.657
"Azerbaijan",31,20,324,357.767,395.765,247.226,310.569,493.738,667.993,780.696,696.454,659.734,675.686,808.736,936.774,906.192,724.186,646.531,703.552,861.634,834.195,726.258,668.444,675.579,688.059,668.275,631.391,600.276,580.015,567.228,556.299,541.735
"Azerbaijan",31,25,187,320.766,354.768,392.751,235.465,295.235,482.068,636.896,719.641,686.478,643.675,689.283,822.483,934.911,903.549,721.285,644.045,700.958,858.598,831.399,723.955,666.452,673.698,686.279,666.676,630.001,599.064,578.944,566.272,555.443
"Azerbaijan",31,30,121,185.368,318.208,352.057,384.963,228.942,280.01,467.049,605.453,714.349,678.205,646.358,703.012,819.539,931.629,899.597,718.24,641.429,698.227,855.406,828.466,721.546,664.373,671.738,684.426,665.016,628.557,597.805,577.83,565.275
"Azerbaijan",31,35,155,119.866,183.825,315.379,343.948,380.395,222.088,271.124,451.105,589.708,709.096,673.93,649.028,698.982,815.373,926.316,894.641,714.428,638.166,694.838,851.463,824.862,718.602,661.842,669.359,682.186,663.012,626.817,596.287,576.486
"Azerbaijan",31,40,144,153.089,118.626,181.819,306.689,334.8,374.638,214.372,261.348,429.406,572.475,701.358,669.47,643.327,693.375,808.557,918.858,887.704,709.117,633.643,690.163,846.056,819.944,714.597,658.41,666.146,679.164,660.309,624.471,594.24
"Azerbaijan",31,45,140,141.406,150.632,116.742,178.758,292.09,323.477,365.273,205.257,242.413,404.886,561.435,692.751,660.103,634.817,684.193,798.248,907.599,877.272,701.161,626.895,683.216,838.045,812.675,708.689,653.357,661.416,674.716,656.33,621.013
"Azerbaijan",31,50,122,136.247,137.78,146.611,113.631,167.937,274.151,314.171,351.258,187.985,220.223,391.684,547.849,676.363,645.593,621.131,669.942,782.288,890.237,861.242,688.976,616.594,672.643,825.883,801.661,699.756,645.721,654.28,668.011,650.33
"Azerbaijan",31,55,80,116.246,130.721,131.724,139.979,108.659,154.377,261.767,298.719,319.942,167.434,208.797,373.606,525.424,652.088,623.08,600.199,648.181,758.005,863.892,836.962,670.556,601.05,656.721,807.593,785.117,686.347,634.287,643.603,657.978
"Azerbaijan",31,60,94,73.51,107.873,121.65,122.104,130.438,100.998,139.695,242.471,258.827,282.301,153.19,193.056,349.132,494.729,615.129,589.05,568.623,615.462,721.573,824.425,800.64,643.031,577.874,633.008,780.386,760.542,666.494,617.381,627.822
"Azerbaijan",31,65,76,82.175,64.837,95.583,108.403,107.046,116.701,86.591,121.186,198.322,213.86,244.095,134.741,173.166,315.996,449.193,560.54,538.832,522.121,567.296,667.9,766.234,747.041,602.422,543.633,597.921,740.077,724.142,637.024,592.197
"Azerbaijan",31,70,61,60.897,66.962,52.956,78.772,87.841,87.631,95.048,69.322,91.532,148.815,168.778,196.589,112.604,146.532,268.915,384.564,482.901,467.291,455.674,498.207,590.521,681.906,669.091,543.039,493.25,545.988,680.144,669.61,592.47
"Azerbaijan",31,75,36,41.904,42.892,47.73,38.111,55.57,63.136,64.011,69.654,47.871,58.699,103.034,118.684,147.203,85.045,111.427,206.641,298.572,379.008,370.799,365.353,403.546,483.497,564.34,559.439,458.718,421.01,470.904,592.51,588.868
"Azerbaijan",31,80,19,19.561,23.727,24.976,28.634,22.797,33.399,41.272,41.85,42.611,25.717,33.597,60.353,75.258,92.194,53.945,71.604,135.025,198.403,256.151,254.872,255.185,286.33,348.901,413.996,416.946,347.358,324.113,368.343,470.522
"Azerbaijan",31,85,9,7.597,8.264,10.493,11.513,13.825,10.826,17.456,22.432,20.388,18.799,11.41,15.381,29.967,35.09,44.062,26.315,35.626,68.875,103.696,137.174,139.823,143.257,164.539,205.445,249.673,257.377,219.688,210.005,244.258
"Azerbaijan",31,90,5,2.439,2.309,2.555,3.329,3.741,4.647,3.705,6.186,7.147,6.391,5.58,3.957,5.488,9.243,11.074,14.392,8.843,12.311,24.614,38.292,52.332,55.105,58.304,69.134,89.25,112.112,119.527,105.505,104.271
"Azerbaijan",31,95,0,0.999,0.538,0.515,0.55,0.704,0.793,0.985,0.767,1.16,1.359,1.11,1.17,0.864,1.037,1.777,2.193,2.964,1.884,2.713,5.641,9.123,12.965,14.214,15.645,19.298,25.971,34.068,37.885,34.875
"Azerbaijan",31,100,0,0,0.15,0.095,0.074,0.066,0.076,0.078,0.083,0.085,0.128,0.138,0.135,0.143,0.1,0.12,0.202,0.26,0.362,0.258,0.352,0.732,1.244,1.859,2.182,2.512,3.191,4.45,6.132,7.311
"Armenia",51,0,150,232.763,322.72,341.497,285.827,299.392,329.57,370.762,384.128,287.279,200.486,193.755,212.874,223.691,214.224,189.721,169.712,163.599,167.855,171.637,166.315,154.27,142.29,135.829,134.269,134.022,130.726,124.058,116.437,110.556
"Armenia",51,5,108,155.672,239.158,333.51,356.613,301.421,302.107,325.56,365.316,350.999,274.221,192.151,180.234,210.847,222.508,213.103,188.676,168.721,162.637,166.912,170.705,165.404,153.38,141.42,134.972,133.417,133.175,129.888,123.225,115.61
"Armenia",51,10,192,112.749,162.748,247.786,346.787,366.975,304.112,300.113,319.412,317.866,334.007,266.256,182.572,178.629,210.166,221.836,212.457,188.064,168.139,162.072,166.352,170.151,164.863,152.852,140.904,134.464,132.914,132.675,129.389,122.732
"Armenia",51,15,150,196.091,117.841,168.858,258.957,351.809,366.572,301.647,283.809,264.948,299.286,318.297,254.103,180.919,176.684,208.171,219.849,210.517,186.188,166.316,160.275,164.568,168.382,163.113,151.126,139.201,132.771,131.229,130.996,127.719
"Armenia",51,20,158,154.089,200.504,122.485,177.051,266.576,356.886,355.802,279.069,224.268,244.216,277.118,297.295,249.308,176.461,172.286,203.715,215.404,206.138,181.905,162.107,156.106,160.422,164.254,159.016,147.065,135.168,128.757,127.227,127.006
