"country","country_code","age","1955","1960","1965","1970","1975","1980","1985","1990","1995","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"Azerbaijan",31,15,181,209.227,122.878,154.507,246.058,330.555,399.674,366.309,330.659,341.406,393.826,463.637,450.011,356.732,318.717,346.384,423.774,410.153,357.103,328.62,332.012,337.982,328.073,309.778,294.322,284.206,277.775,272.273,265.009,255.754
"Azerbaijan",31,20,160,180.312,208.572,122.503,149.055,243.736,329.614,392.422,350.054,333.804,345.616,404.654,470.977,449.84,356.554,318.173,345.823,423.121,409.551,356.604,328.185,331.594,337.578,327.703,309.448,294.026,283.937,277.527,272.044,264.799
"Azerbaijan",31,25,105,159.317,179.676,207.831,122.065,145.014,241.253,321.769,374.875,352.775,336.564,350.511,415.534,470.597,449.424,355.81,317.536,345.157,422.338,408.822,355.995,327.649,331.077,337.078,327.243,309.037,293.656,283.601,277.217,271.757
"Azerbaijan",31,30,72,104.512,158.7,178.959,206.977,118.684,140.891,236.332,313.647,374.428,355.252,335.002,355.683,414.974,469.705,448.181,354.865,316.724,344.306,421.337,407.894,355.223,326.971,330.427,336.451,326.669,308.524,293.198,283.185,276.835
"Azerbaijan",31,35,87,71.607,104.032,157.931,173.041,202.707,115.165,137.24,231.045,307.706,373.621,352.089,333.839,354.773,413.52,467.776,446.417,353.525,315.577,343.112,419.942,406.608,354.16,326.045,329.544,335.605,325.897,307.841,292.589,282.634
"Azerbaijan",31,40,82,86.407,71.19,103.386,151.918,167.466,198.062,112.228,133.297,221.562,301.197,368.157,349.367,332.236,352.581,410.839,464.879,443.774,351.528,313.877,341.355,417.903,404.739,352.625,324.715,328.283,334.401,324.804,306.876,291.732
"Azerbaijan",31,45,89,81.207,85.681,70.544,102.382,145.729,161.265,194.395,108.8,124.123,211.274,295.183,363.093,346.388,328.719,348.878,406.724,460.44,439.743,348.494,311.31,338.713,414.849,401.953,350.344,322.746,326.418,332.626,323.194,305.455
"Azerbaijan",31,50,70,87.517,80.012,84.33,69.365,98.167,138.414,158.781,189.003,100.588,113.893,205.893,289.014,357.536,340.378,323.193,343.291,400.527,453.784,433.721,343.982,307.504,334.809,410.351,397.861,347.003,319.862,323.696,330.036,320.844
"Azerbaijan",31,55,42,67.828,85.079,77.701,81.818,68.601,92.697,135.525,154.15,175.257,91.053,109.568,199.338,281.016,347.815,331.482,315.149,335.171,391.557,444.174,425.053,337.501,302.048,329.227,403.933,392.034,342.244,315.769,319.831,326.359
"Azerbaijan",31,60,52,39.616,64.326,80.666,73.661,79.397,66.367,85.349,129.955,136.14,158.457,85.012,103.786,189.958,268.719,333.21,318.228,303.184,323.142,378.291,429.997,412.282,327.969,294.045,321.054,394.557,383.527,335.325,309.82,314.218
"Azerbaijan",31,65,42,46.912,36.052,58.633,73.651,67.05,74.517,57.424,75.945,108.616,115.228,140.71,77.019,95.605,176.054,249.842,310.892,297.968,284.92,304.752,357.993,408.26,392.672,313.318,281.725,308.46,380.066,370.385,324.6,300.571
"Azerbaijan",31,70,35,34.926,39.584,30.586,50.021,60.821,57.457,62.375,46.672,58.923,83.484,93.907,117.234,66.435,83.624,154.829,221.035,276.713,266.871,256.737,276.234,326.325,374.159,361.756,290.093,262.095,288.256,356.737,349.068,307.081
"Azerbaijan",31,75,21,25.054,25.638,29.445,23.073,35.942,44.795,43.626,47.448,33.214,38.999,59.903,69.043,91.685,52.199,66.317,124.053,178.953,226.457,220.709,214.518,233.084,277.962,321.632,313.706,253.694,231.03,256.075,319.204,314.452
"Azerbaijan",31,80,12,11.987,14.895,15.722,18.614,14.365,21.992,30.586,29.818,30.438,18.395,23.036,37.188,46.771,60.072,34.715,44.832,85.273,125.157,161.094,159.652,157.693,174.035,210.72,247.427,244.784,200.632,185.152,207.783,262.04
"Azerbaijan",31,85,5,5.109,5.421,7.037,7.748,9.579,7.119,12.242,17.413,15.373,14.133,8.498,11.27,20.002,23.087,30.304,17.93,23.72,46.267,69.628,91.88,93.29,94.357,106.592,132.03,158.522,160.199,134.128,126.288,144.449
"Azerbaijan",31,90,3,1.536,1.703,1.844,2.443,2.748,3.483,2.651,4.657,5.852,5.116,4.412,3.192,4.29,6.562,7.782,10.536,6.436,8.804,17.762,27.654,37.735,39.608,41.409,48.33,61.834,76.602,79.908,68.964,66.857
"Azerbaijan",31,95,0,0.687,0.385,0.412,0.43,0.553,0.616,0.77,0.572,0.931,1.166,0.928,0.989,0.727,0.843,1.333,1.638,2.299,1.459,2.077,4.363,7.075,10.059,11.005,11.996,14.6,19.465,25.16,27.352,24.579
"Azerbaijan",31,100,0,0,0.115,0.075,0.063,0.055,0.062,0.062,0.064,0.067,0.107,0.121,0.118,0.124,0.086,0.1,0.158,0.203,0.292,0.21,0.284,0.597,1.021,1.53,1.799,2.061,2.592,3.582,4.872,5.704
"Armenia",51,0,77,114.178,158.602,167.388,140.124,147.044,161.671,181.802,188.267,141.158,98.242,94.943,104.229,109.325,104.63,92.659,82.886,79.881,81.949,83.782,81.173,75.284,69.427,66.268,65.501,65.376,63.765,60.51,56.792,53.923
"Armenia",51,5,57,79.588,117.423,163.672,174.722,148.317,148.576,159.631,180.252,172.962,134.87,94.511,88.748,103.281,108.767,104.107,92.172,82.408,79.412,81.486,83.323,80.721,74.84,68.991,65.838,65.073,64.95,63.344,60.092,56.377
"Armenia",51,10,98,59.401,83.056,121.559,170.071,180.096,149.72,147.239,158.405,158.777,164.468,131.762,90.209,88.006,103.003,108.493,103.84,91.915,82.159,79.167,81.243,83.079,80.482,74.604,68.759,65.608,64.845,64.722,63.116,59.867
"Armenia",51,15,74,100.224,62.053,86.11,127.09,174.031,180.916,148.305,139.138,135.903,149.877,159.504,127.926,89.473,87.344,102.337,107.826,103.181,91.267,81.521,78.533,80.608,82.449,79.853,73.98,68.141,64.99,64.229,64.107,62.503
