"country","country_code","age","1955","1960","1965","1970","1975","1980","1985","1990","1995","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"Albania",8,50,25,23.123,30.111,31.646,34.072,39.291,45.524,51.103,62.564,64.132,65.167,82.35,99.314,105.166,96.271,88.986,73.763,70.849,92.42,95.248,89,69.211,51.165,56.664,56.252,54.334,44.547,35.795,30.907,29.054
"Albania",8,55,19,23.801,22.194,29.239,30.674,33.072,38.267,44.535,50.222,58.863,55.546,63.416,81.497,98.468,103.065,94.337,87.363,72.552,69.717,91.123,93.982,87.843,68.265,50.389,55.873,55.492,53.612,43.904,35.216,30.364
"Albania",8,60,19,17.686,22.401,21.229,27.871,29.289,31.733,36.955,43.294,47.108,50.588,53.577,62.905,77.533,95.902,100.493,92.16,85.569,71.1,68.387,89.556,92.462,86.486,67.212,49.59,55.055,54.717,52.89,43.296,34.7
"Albania",8,65,16,16.93,16.01,20.759,19.531,25.677,27.177,29.738,34.988,39.809,40.099,47.766,53.346,60.37,74.316,92.143,96.856,89.156,82.938,69.023,66.507,87.294,90.278,84.558,65.772,48.552,53.989,53.719,51.977,42.566
"Albania",8,70,11,13.234,14.317,14,17.929,16.858,22.377,24.036,26.705,30.544,32.289,36.073,45.697,52.437,55.912,69.086,86.13,91.142,84.222,78.632,65.657,63.468,83.589,86.693,81.408,63.458,46.927,52.308,52.152,50.555
"Albania",8,75,7,8.093,10.028,11.364,10.846,13.784,13.123,17.791,19.532,20.972,21.851,26.604,31.025,38.488,45.039,48.294,60.287,76.159,81.259,75.666,71.157,59.807,58.176,77.08,80.376,75.858,59.4,44.106,49.367,49.414
"Albania",8,80,5,4.301,5.163,6.802,7.337,6.858,8.836,8.648,12.045,12.599,13.461,15.329,19.412,23.606,28.041,33.199,36.31,46.521,59.784,64.82,61.28,58.45,49.771,49.005,65.685,69.236,66.003,52.162,39.056,44.084
"Albania",8,85,4,2.315,2.072,2.676,3.445,3.452,3.238,4.285,4.296,5.604,6.442,7.183,8.419,11.381,12.988,15.731,19.261,22.016,29.074,38.445,42.843,41.565,40.614,35.374,35.584,48.673,52.292,50.756,40.782,31.027
"Albania",8,90,3,1.3,0.786,0.76,0.857,1.012,1.011,0.974,1.303,1.2,1.677,2.213,2.542,2.853,4.104,4.798,6.102,7.972,9.539,13.166,18.175,21.104,21.29,21.587,19.483,20.279,28.656,31.757,31.731,26.228
"Albania",8,95,2,0.604,0.271,0.175,0.14,0.138,0.159,0.161,0.152,0.182,0.181,0.306,0.423,0.423,0.541,0.803,1.004,1.395,1.945,2.481,3.647,5.352,6.592,7.038,7.541,7.182,7.874,11.7,13.598,14.24
