"country","country_code","age","1955","1960","1965","1970","1975","1980","1985","1990","1995","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"Azerbaijan",31,15,181,209.227,122.878,154.507,244.355,328.313,396.966,363.889,327.827,337.719,388.876,457.263,441.284,341.85,299.023,323.611,396.279,383.373,331.919,303.855,306.87,312.951,303.665,285.987,271.131,261.404,255.415,250.199,243.189,234.393
"Azerbaijan",31,20,160,180.312,208.572,122.503,149.055,242.038,327.378,389.722,347.641,330.981,341.941,399.719,464.616,441.129,341.699,298.512,323.087,395.668,382.811,331.455,303.452,306.484,312.577,303.322,285.682,270.858,261.156,255.187,249.989,242.997
"Azerbaijan",31,25,105,159.317,179.676,207.831,122.065,145.014,239.561,319.541,372.185,350.373,333.753,346.851,410.613,464.252,440.733,340.986,297.914,322.465,394.935,382.13,330.889,302.957,306.006,312.114,302.896,285.302,270.517,260.847,254.902,249.726
"Azerbaijan",31,30,72,104.512,158.7,178.959,206.977,118.684,140.891,234.647,311.429,371.752,352.862,332.206,352.035,410.067,463.379,439.514,340.081,297.152,321.67,393.999,381.263,330.171,302.33,305.405,311.533,302.364,284.829,270.095,260.465,254.55
"Azerbaijan",31,35,87,71.607,104.032,157.931,173.041,202.707,115.165,137.24,229.37,305.502,370.962,349.717,331.055,351.139,408.634,461.476,437.784,338.797,296.076,320.554,392.694,380.061,329.183,301.474,304.589,310.749,301.649,284.198,269.534,259.958
"Azerbaijan",31,40,82,86.407,71.19,103.386,151.918,167.466,198.062,112.228,133.297,219.902,299.012,365.526,347.009,329.468,348.971,405.985,458.618,435.192,336.883,294.481,318.913,390.787,378.314,327.756,300.244,303.423,309.634,300.637,283.307,268.745
"Azerbaijan",31,45,89,81.207,85.681,70.544,102.382,145.729,161.265,194.395,108.8,124.123,209.635,293.032,360.488,344.052,325.981,345.305,401.919,454.239,431.238,333.975,292.072,316.445,387.931,375.71,325.636,298.423,301.699,307.99,299.147,281.995
"Azerbaijan",31,50,70,87.517,80.012,84.33,69.365,98.167,138.414,158.781,189.003,100.588,113.893,204.291,286.899,354.972,338.083,320.501,339.775,395.795,447.672,425.332,329.651,288.501,312.798,383.725,371.885,322.53,295.756,299.183,305.592,296.972
"Azerbaijan",31,55,42,67.828,85.079,77.701,81.818,68.601,92.697,135.525,154.15,175.257,91.053,109.568,197.782,278.96,345.321,329.247,312.524,331.738,386.931,438.192,416.831,323.44,283.382,307.583,377.723,366.438,318.107,291.971,295.61,302.187
"Azerbaijan",31,60,52,39.616,64.326,80.666,73.661,79.397,66.367,85.349,129.955,136.14,158.457,85.012,103.786,188.476,266.753,330.821,316.082,300.659,319.832,373.822,424.206,404.307,314.305,275.873,299.948,368.955,358.486,311.676,286.47,290.422
"Azerbaijan",31,65,42,46.912,36.052,58.633,73.651,67.05,74.517,57.424,75.945,108.616,115.228,140.71,77.019,95.605,174.681,248.014,308.663,295.959,282.547,301.63,353.763,402.762,385.076,300.264,264.314,288.182,355.405,346.202,301.708,277.918
"Azerbaijan",31,70,35,34.926,39.584,30.586,50.021,60.821,57.457,62.375,46.672,58.923,83.484,93.907,117.234,66.435,83.624,153.621,219.418,274.73,265.072,254.599,273.404,322.469,369.121,354.758,278.007,245.897,269.306,333.59,326.277,285.424
"Azerbaijan",31,75,21,25.054,25.638,29.445,23.073,35.942,44.795,43.626,47.448,33.214,38.999,59.903,69.043,91.685,52.199,66.317,123.085,177.644,224.835,219.221,212.732,230.696,274.678,317.301,307.637,243.125,216.752,239.241,298.493,293.921
